Device: cuda
============ Train epoch 0 ============
 USPS       | Train Loss: 0.0715 | Train Acc: 0.9946
 SynthDigits| Train Loss: 0.1477 | Train Acc: 0.9946
 MNIST-M    | Train Loss: 0.1721 | Train Acc: 0.9960
 MNIST      | Test  Loss: 0.1834 | Test  Acc: 0.9543
 SVHN       | Test  Loss: 1.1037 | Test  Acc: 0.6390
 USPS       | Test  Loss: 0.1744 | Test  Acc: 0.9586
 SynthDigits| Test  Loss: 0.6682 | Test  Acc: 0.7963
 MNIST-M    | Test  Loss: 0.8073 | Test  Acc: 0.7504
============ Train epoch 14 ============
 MNIST      | Train Loss: 0.0499 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.3093 | Train Acc: 0.9623
 USPS       | Train Loss: 0.0481 | Train Acc: 0.9973
 SynthDigits| Train Loss: 0.1305 | Train Acc: 0.9946
 MNIST-M    | Train Loss: 0.1361 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1953 | Test  Acc: 0.9484
 SVHN       | Test  Loss: 1.0816 | Test  Acc: 0.6506
 USPS       | Test  Loss: 0.1506 | Test  Acc: 0.9591
 SynthDigits| Test  Loss: 0.6604 | Test  Acc: 0.7972
 MNIST-M    | Test  Loss: 0.7855 | Test  Acc: 0.7564
============ Train epoch 15 ============
 MNIST      | Train Loss: 0.0318 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.2334 | Train Acc: 0.9879
 USPS       | Train Loss: 0.0404 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.1452 | Train Acc: 0.9960
 MNIST-M    | Train Loss: 0.1431 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1600 | Test  Acc: 0.9581
 SVHN       | Test  Loss: 1.0145 | Test  Acc: 0.6816
 USPS       | Test  Loss: 0.1422 | Test  Acc: 0.9602
 SynthDigits| Test  Loss: 0.6815 | Test  Acc: 0.7831
 MNIST-M    | Test  Loss: 0.7927 | Test  Acc: 0.7525
============ Train epoch 16 ============
 MNIST      | Train Loss: 0.0330 | Train Acc: 1.0000
