Device: cuda
============ Train epoch 0 ============
 MNIST      | Train Loss: 0.0462 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.6506 | Train Acc: 0.8452
 USPS       | Train Loss: 0.0641 | Train Acc: 0.9906
 SynthDigits| Train Loss: 0.1316 | Train Acc: 0.9946
 MNIST-M    | Train Loss: 0.1624 | Train Acc: 0.9960
 MNIST      | Test  Loss: 0.1754 | Test  Acc: 0.9514
 SVHN       | Test  Loss: 1.2230 | Test  Acc: 0.5920
 USPS       | Test  Loss: 0.1716 | Test  Acc: 0.9522
 SynthDigits| Test  Loss: 0.6521 | Test  Acc: 0.7959
 MNIST-M    | Test  Loss: 0.8232 | Test  Acc: 0.7341
============ Train epoch 19 ============
 MNIST      | Train Loss: 0.0385 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.5690 | Train Acc: 0.8829
 USPS       | Train Loss: 0.0589 | Train Acc: 0.9879
 SynthDigits| Train Loss: 0.1023 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.1359 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1665 | Test  Acc: 0.9536
 SVHN       | Test  Loss: 1.1711 | Test  Acc: 0.6158
 USPS       | Test  Loss: 0.1690 | Test  Acc: 0.9489
 SynthDigits| Test  Loss: 0.6342 | Test  Acc: 0.8014
 MNIST-M    | Test  Loss: 0.8001 | Test  Acc: 0.7424
============ Train epoch 20 ============
 MNIST      | Train Loss: 0.0336 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.5739 | Train Acc: 0.8600
 USPS       | Train Loss: 0.0710 | Train Acc: 0.9838
 SynthDigits| Train Loss: 0.0974 | Train Acc: 0.9960
 MNIST-M    | Train Loss: 0.1212 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1634 | Test  Acc: 0.9514
 SVHN       | Test  Loss: 1.1806 | Test  Acc: 0.6113
 USPS       | Test  Loss: 0.1807 | Test  Acc: 0.9473
 SynthDigits| Test  Loss: 0.6327 | Test  Acc: 0.8005
 MNIST-M    | Test  Loss: 0.7927 | Test  Acc: 0.7442
============ Train epoch 21 ============
 MNIST      | Train Loss: 0.0321 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.5326 | Train Acc: 0.8964
 USPS       | Train Loss: 0.0573 | Train Acc: 0.9892
 SynthDigits| Train Loss: 0.0933 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.1157 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1610 | Test  Acc: 0.9529
 SVHN       | Test  Loss: 1.1555 | Test  Acc: 0.6259
